spellClass,spellLevel,name,spellKey,sourceBook,sourcePage,range,duration,effect,save,tags,manualNotes,reviewed,pageVerified,suggestedSourcePage,suggestedRange,suggestedDuration,suggestedEffect,suggestedSave,suggestedTags,validationStatus,nextAction
Cleric,2,Know Alignment,know-alignment,Basic,5,0,1 round,"Reveals alignment of one creature, item, or area within 10 ft.",None,"detection,alignment,reversible",Identifies alignment; reverse masks with false alignment.,true,true,5,0,1 round,"Reveals alignment of one creature, item, or area within 10 ft.",None,"detection,alignment,reversible",ready,Ready for validation
Cleric,2,Silence 15' Radius,silence-15-radius,Basic,6,180 ft,12 turns,Creates 30 ft diameter silence; moving target may carry effect if save fails.,Spells negates moving effect,"control,silence",Stops speech and spellcasting inside the silent area.,true,true,6,180 ft,12 turns,Creates 30 ft diameter silence; moving target may carry effect if save fails.,Spells negates moving effect,"control,silence",ready,Ready for validation
Cleric,2,Snake Charm,snake-charm,Basic,6,60 ft,2-5 rounds or 2-5 turns,Charms 1 HD of snakes per caster level; no save.,None,"animals,charm",Snakes sway harmlessly unless attacked; shorter duration in combat.,true,true,6,60 ft,2-5 rounds or 2-5 turns,Charms 1 HD of snakes per caster level; no save.,None,"animals,charm",ready,Ready for validation
Cleric,2,Speak with Animals,speak-with-animals,Basic,6,0,6 turns,Caster speaks with one named animal type within 30 ft.,None,"communication,animals",Talks to a chosen animal type; reactions are usually favorable.,true,true,6,0,6 turns,Caster speaks with one named animal type within 30 ft.,None,"communication,animals",ready,Ready for validation
Cleric,3,Continual Light,continual-light,Expert,6,120 ft,Permanent,Creates daylight-bright 60 ft sphere; can blind if cast at eyes.,Spells negates blindness,"light,reversible",Permanent daylight effect; reverse creates continual darkness.,true,true,6,120 ft,Permanent,Creates daylight-bright 60 ft sphere; can blind if cast at eyes.,Spells negates blindness,"light,reversible",ready,Ready for validation
Cleric,3,Cure Disease,cure-disease,Expert,6,30 ft,Permanent,Cures one disease; high-level caster can cure lycanthropy.,None,"healing,disease,reversible",Cures disease; reverse inflicts wasting disease.,true,true,6,30 ft,Permanent,Cures one disease; high-level caster can cure lycanthropy.,None,"healing,disease,reversible",ready,Ready for validation
Cleric,3,Growth of Animal,growth-of-animal,Expert,6,120 ft,12 turns,"Doubles size, strength, damage, and carrying capacity of one animal.",None,"animals,buff",Enlarges normal or giant animal without changing behavior.,true,true,6,120 ft,12 turns,"Doubles size, strength, damage, and carrying capacity of one animal.",None,"animals,buff",ready,Ready for validation
Cleric,3,Locate Object,locate-object,Expert,6,0,6 turns,Caster senses direction of one known object within 120 ft.,None,"detection,utility",Detects direction only; does not locate creatures.,true,true,6,0,6 turns,Caster senses direction of one known object within 120 ft.,None,"detection,utility",ready,Ready for validation
Cleric,3,Remove Curse,remove-curse,Expert,6,Touch,Permanent,"Removes one curse from creature, item, or area; some removals may be temporary.",None,"curse,reversible",Removes curses; reverse applies a misfortune or penalty.,true,true,6,Touch,Permanent,"Removes one curse from creature, item, or area; some removals may be temporary.",None,"curse,reversible",ready,Ready for validation
Cleric,3,Striking,striking,Expert,7,30 ft,1 turn,One weapon gains +1d6 damage per attack and can harm magic-only targets for that bonus.,None,"buff,weapon,damage",Temporarily empowers a weapon with extra striking damage.,true,true,7,30 ft,1 turn,One weapon gains +1d6 damage per attack and can harm magic-only targets for that bonus.,None,"buff,weapon,damage",ready,Ready for validation
Cleric,3,Warp Wood,warp-wood,Expert,6,240 ft,Permanent,"Bends or warps wooden items, usually spoiling weapons, doors, or small objects.",Special,"wood,utility","Warps wood; useful against bows, doors, shafts, and similar items.",true,true,6,240 ft,Permanent,"Bends or warps wooden items, usually spoiling weapons, doors, or small objects.",Special,"wood,utility",ready,Ready for validation
Cleric,4,Create Water,create-water,Expert,7,10 ft,6 turns,"Creates a spring with water for 12 men and mounts, plus more at higher levels.",None,"creation,water",Creates drinking water from ground or wall for one hour.,true,true,7,10 ft,6 turns,"Creates a spring with water for 12 men and mounts, plus more at higher levels.",None,"creation,water",ready,Ready for validation
Cleric,4,Cure Serious Wounds,cure-serious-wounds,Expert,7,Touch,Permanent,Heals 4-14 hp damage to one living creature.,None,"healing,reversible",Heals serious wounds; reverse causes 4-14 damage by touch.,true,true,7,Touch,Permanent,Heals 4-14 hp damage to one living creature.,None,"healing,reversible",ready,Ready for validation
Cleric,4,Neutralize Poison,neutralize-poison,Expert,8,Touch,Permanent,"Neutralizes poison in creature, container, or object; can revive poison death within 10 rounds.",None,"poison,healing,reversible",Makes poison harmless; reverse creates lethal poison.,true,true,8,Touch,Permanent,"Neutralizes poison in creature, container, or object; can revive poison death within 10 rounds.",None,"poison,healing,reversible",ready,Ready for validation
Cleric,4,Protection from Evil 10' Radius,protection-from-evil-10-radius,Expert,8,0,12 turns,"20 ft diameter barrier gives allies +1 saves, attackers -1 hit, and blocks enchanted melee.",None,"protection,area",Area version of protection from evil centered on caster.,true,true,8,0,12 turns,"20 ft diameter barrier gives allies +1 saves, attackers -1 hit, and blocks enchanted melee.",None,"protection,area",ready,Ready for validation
Cleric,4,Speak with Plants,speak-with-plants,Expert,8,0,3 turns,Caster speaks with plants within 30 ft and can request simple favors.,None,"communication,plants",Allows plant communication and passage through vegetation.,true,true,8,0,3 turns,Caster speaks with plants within 30 ft and can request simple favors.,None,"communication,plants",ready,Ready for validation
Cleric,4,Sticks to Snakes,sticks-to-snakes,Expert,8,120 ft,6 turns,Turns 2-16 sticks into snakes that obey the cleric.,None,"summoning,animals",Creates temporary snake servants from sticks.,true,true,8,120 ft,6 turns,Turns 2-16 sticks into snakes that obey the cleric.,None,"summoning,animals",ready,Ready for validation
Cleric,5,Commune,commune,Expert,9,0,3 turns,Cleric asks higher powers three yes/no questions; usable rarely.,None,divination,Ask divine powers limited questions for guidance.,true,true,9,0,3 turns,Cleric asks higher powers three yes/no questions; usable rarely.,None,divination,ready,Ready for validation
Cleric,5,Create Food,create-food,Expert,9,10 ft,Permanent,"Creates food for 12 men and mounts for one day, more at higher levels.",None,"creation,food",Creates sustaining food for a group and mounts.,true,true,9,10 ft,Permanent,"Creates food for 12 men and mounts for one day, more at higher levels.",None,"creation,food",ready,Ready for validation
Cleric,5,Dispel Evil,dispel-evil,Expert,9,30 ft,1 turn,Banishing/protective power against enchanted or summoned evil creatures and curses.,Special,"protection,banishment",Can drive away or destroy evil magical influence at close range.,true,true,9,30 ft,1 turn,Banishing/protective power against enchanted or summoned evil creatures and curses.,Special,"protection,banishment",ready,Ready for validation
Cleric,5,Insect Plague,insect-plague,Expert,9,480 ft,1 day,Summons a 60 ft swarm cloud that drives away creatures under 3 HD.,None,"summoning,insects,control",Creates a large insect swarm that disrupts weak creatures.,true,true,9,480 ft,1 day,Summons a 60 ft swarm cloud that drives away creatures under 3 HD.,None,"summoning,insects,control",ready,Ready for validation
Cleric,5,Quest,quest,Expert,10,30 ft,Until fulfilled,Compels a creature to perform or avoid a task; refusal causes penalties.,Spells negates,"control,geas,reversible",Places a divine obligation; reverse removes quest.,true,true,10,30 ft,Until fulfilled,Compels a creature to perform or avoid a task; refusal causes penalties.,Spells negates,"control,geas,reversible",ready,Ready for validation
Cleric,5,Raise Dead,raise-dead,Expert,10,120 ft,Permanent,Restores a dead human/demi-human within time limit; recipient returns weak.,None,"healing,resurrection,reversible",Raises dead; reverse can slay like finger of death.,true,true,10,120 ft,Permanent,Restores a dead human/demi-human within time limit; recipient returns weak.,None,"healing,resurrection,reversible",ready,Ready for validation
Magic-User,1,Charm Person,charm-person,Basic,40,120 ft,Special,Charms one humanoid as a trusted friend; repeat saves based on Intelligence.,Spells negates,"charm,control",Makes a humanoid friendly unless save succeeds.,true,true,40,120 ft,Special,Charms one humanoid as a trusted friend; repeat saves based on Intelligence.,Spells negates,"charm,control",ready,Ready for validation
Magic-User,1,Detect Magic,detect-magic,Basic,40,0,2 turns,Magic within 60 ft glows to the caster.,None,"detection,magic",Caster sees magical auras nearby.,true,true,40,0,2 turns,Magic within 60 ft glows to the caster.,None,"detection,magic",ready,Ready for validation
Magic-User,1,Floating Disc,floating-disc,Basic,40,0,6 turns,"Creates floating disc carrying up to 5,000 cn, following caster.",None,"utility,transport",Creates a hovering carrier for treasure or gear.,true,true,40,0,6 turns,"Creates floating disc carrying up to 5,000 cn, following caster.",None,"utility,transport",ready,Ready for validation
Magic-User,1,Hold Portal,hold-portal,Basic,40,10 ft,2-12 turns,"Magically holds one door, gate, or similar portal shut.",None,"control,door",Holds a portal closed unless forced or magically opened.,true,true,40,10 ft,2-12 turns,"Magically holds one door, gate, or similar portal shut.",None,"control,door",ready,Ready for validation
Magic-User,1,Light,light,Basic,40,120 ft,6 turns + caster level,Creates 30 ft diameter light; can blind if targeted.,Spells negates blindness,"light,reversible",Creates light; reverse creates darkness.,true,true,40,120 ft,6 turns + caster level,Creates 30 ft diameter light; can blind if targeted.,Spells negates blindness,"light,reversible",ready,Ready for validation
Magic-User,1,Magic Missile,magic-missile,Basic,40,150 ft,1 round,Creates unerring magical missile(s) dealing 1d6+1 damage each.,None,"damage,force",Automatically hits visible target within range.,true,true,40,150 ft,1 round,Creates unerring magical missile(s) dealing 1d6+1 damage each.,None,"damage,force",ready,Ready for validation
Magic-User,1,Protection from Evil,protection-from-evil,Basic,40,0,6 turns,"Caster gains attacks -1, saves +1, and enchanted creatures are blocked.",None,protection,Protects caster from hostile and enchanted melee attacks.,true,true,40,0,6 turns,"Caster gains attacks -1, saves +1, and enchanted creatures are blocked.",None,protection,ready,Ready for validation
Magic-User,1,Read Languages,read-languages,Basic,40,0,2 turns,"Caster reads unknown languages, codes, maps, and inscriptions.",None,"utility,language",Translates written language but not magical writing.,true,true,40,0,2 turns,"Caster reads unknown languages, codes, maps, and inscriptions.",None,"utility,language",ready,Ready for validation
Magic-User,1,Read Magic,read-magic,Basic,40,0,1 turn,Caster reads magical writing and scrolls.,None,"utility,magic","Allows reading spell books, scrolls, and magical inscriptions.",true,true,40,0,1 turn,Caster reads magical writing and scrolls.,None,"utility,magic",ready,Ready for validation
Magic-User,1,Shield,shield,Basic,40,0,2 turns,Invisible barrier improves AC and blocks magic missiles.,None,protection,"Defensive shield protects caster, especially from missiles.",true,true,40,0,2 turns,Invisible barrier improves AC and blocks magic missiles.,None,protection,ready,Ready for validation
Magic-User,1,Sleep,sleep,Basic,40,240 ft,4-16 turns,"Puts 2d8 HD of creatures to sleep, usually affecting weakest first.",None,"sleep,control",Drops low-HD enemies asleep; no save.,true,true,40,240 ft,4-16 turns,"Puts 2d8 HD of creatures to sleep, usually affecting weakest first.",None,"sleep,control",ready,Ready for validation
Magic-User,1,Ventriloquism,ventriloquism,Basic,40,60 ft,2 turns,Caster makes voice or sound appear to come from elsewhere.,None,"illusion,sound",Throws the caster’s voice to mislead listeners.,true,true,40,60 ft,2 turns,Caster makes voice or sound appear to come from elsewhere.,None,"illusion,sound",ready,Ready for validation
Magic-User,2,Continual Light,continual-light,Basic,41,120 ft,Permanent,Creates daylight-bright 60 ft sphere; can blind if targeted.,Spells negates blindness,"light,reversible",Permanent light; reverse creates continual darkness.,true,true,41,120 ft,Permanent,Creates daylight-bright 60 ft sphere; can blind if targeted.,Spells negates blindness,"light,reversible",ready,Ready for validation
Magic-User,2,Detect Evil,detect-evil,Basic,41,60 ft,2 turns,Detects evil intentions or evil-enchanted objects.,None,"detection,evil","Reveals evil intent or magic, not traps or poison.",true,true,41,60 ft,2 turns,Detects evil intentions or evil-enchanted objects.,None,"detection,evil",ready,Ready for validation
Magic-User,2,Detect Invisible,detect-invisible,Basic,41,10 ft per level,6 turns,Caster can see invisible creatures and objects within range.,None,"detection,invisibility",Reveals invisible things to caster.,true,true,41,10 ft per level,6 turns,Caster can see invisible creatures and objects within range.,None,"detection,invisibility",ready,Ready for validation
Magic-User,2,ESP,esp,Basic,41,60 ft,12 turns,Caster reads surface thoughts in one direction through some barriers.,Spells negates,"detection,mind",Reads thoughts of creatures in range and direction.,true,true,41,60 ft,12 turns,Caster reads surface thoughts in one direction through some barriers.,Spells negates,"detection,mind",ready,Ready for validation
Magic-User,2,Invisibility,invisibility,Basic,41,240 ft,Permanent until broken,One creature or object becomes invisible until attacking/casting or dispelled.,None,invisibility,Makes target invisible until it takes hostile action.,true,true,41,240 ft,Permanent until broken,One creature or object becomes invisible until attacking/casting or dispelled.,None,invisibility,ready,Ready for validation
Magic-User,2,Knock,knock,Basic,41,60 ft,Instant,"Opens stuck, locked, barred, or magically held portals.",None,"utility,door",Opens locked or held doors and similar closures.,true,true,41,60 ft,Instant,"Opens stuck, locked, barred, or magically held portals.",None,"utility,door",ready,Ready for validation
Magic-User,2,Levitate,levitate,Basic,41,0,6 turns + caster level,Caster moves up or down vertically by mental control.,None,movement,Allows vertical movement but not horizontal flight.,true,true,41,0,6 turns + caster level,Caster moves up or down vertically by mental control.,None,movement,ready,Ready for validation
Magic-User,2,Locate Object,locate-object,Basic,41,0,2 turns,Caster senses direction of a known object within 60 ft + 10 ft/level.,None,"detection,utility",Detects direction of a familiar object.,true,true,41,0,2 turns,Caster senses direction of a known object within 60 ft + 10 ft/level.,None,"detection,utility",ready,Ready for validation
Magic-User,2,Mirror Image,mirror-image,Basic,41,0,6 turns,Creates 1d4 illusory duplicates that may absorb attacks.,None,"illusion,defense",Creates duplicate images to confuse attackers.,true,true,41,0,6 turns,Creates 1d4 illusory duplicates that may absorb attacks.,None,"illusion,defense",ready,Ready for validation
Magic-User,2,Phantasmal Force,phantasmal-force,Basic,41,240 ft,Concentration,Creates a visual illusion in a 20 ft cube.,Spells disbelief,illusion,Creates an illusion sustained by concentration.,true,true,41,240 ft,Concentration,Creates a visual illusion in a 20 ft cube.,Spells disbelief,illusion,ready,Ready for validation
Magic-User,2,Web,web,Basic,41,10 ft,48 turns,"Fills up to 10x10x10 ft with sticky webs, entangling creatures.",Special,"control,web",Entangles creatures; fire can burn webs away.,true,true,41,10 ft,48 turns,"Fills up to 10x10x10 ft with sticky webs, entangling creatures.",Special,"control,web",ready,Ready for validation
Magic-User,2,Wizard Lock,wizard-lock,Basic,41,10 ft,Permanent,Magically locks a portal; higher-level casters may bypass.,None,"door,magic",Long-term magical lock on door or portal.,true,true,41,10 ft,Permanent,Magically locks a portal; higher-level casters may bypass.,None,"door,magic",ready,Ready for validation
Magic-User,3,Clairvoyance,clairvoyance,Expert,11,60 ft,12 turns,See through the eyes of one creature in range.,None,"detection,scrying",Remote sight through another creature.,true,true,11,60 ft,12 turns,See through the eyes of one creature in range.,None,"detection,scrying",ready,Ready for validation
Magic-User,3,Dispel Magic,dispel-magic,Expert,11,120 ft,Permanent,Ends spell effects in 20 ft cube; higher-level effects may resist.,Special,"dispel,magic","Removes active spell effects, not magic items.",true,true,11,120 ft,Permanent,Ends spell effects in 20 ft cube; higher-level effects may resist.,Special,"dispel,magic",ready,Ready for validation
Magic-User,3,Fire Ball,fire-ball,Expert,11,240 ft,Instant,20 ft radius explosion deals 1d6 fire damage per caster level.,Spells half,"damage,fire,area",Area fire blast; capped by caster level rules.,true,true,11,240 ft,Instant,20 ft radius explosion deals 1d6 fire damage per caster level.,Spells half,"damage,fire,area",ready,Ready for validation
Magic-User,3,Fly,fly,Expert,11,Touch,1d6 turns + level,Target flies at 360 ft/turn with concentration.,None,"movement,flight",Grants controlled flight for variable duration.,true,true,11,Touch,1d6 turns + level,Target flies at 360 ft/turn with concentration.,None,"movement,flight",ready,Ready for validation
Magic-User,3,Haste,haste,Expert,11,240 ft,3 turns,Up to 24 creatures move and attack at double speed.,None,"buff,movement",Speeds allies; multiple haste effects do not stack.,true,true,11,240 ft,3 turns,Up to 24 creatures move and attack at double speed.,None,"buff,movement",ready,Ready for validation
Magic-User,3,Hold Person,hold-person,Expert,11,120 ft,1 turn/level,Paralyzes up to 4 humanoids; single target saves at -2.,Spells negates,"paralysis,control",Paralyzes humanoids like cleric spell.,true,true,11,120 ft,1 turn/level,Paralyzes up to 4 humanoids; single target saves at -2.,Spells negates,"paralysis,control",ready,Ready for validation
Magic-User,3,Infravision,infravision,Expert,11,Touch,1 day,Gives 60 ft infravision.,None,vision,Grants heat-sight in darkness.,true,true,11,Touch,1 day,Gives 60 ft infravision.,None,vision,ready,Ready for validation
Magic-User,3,Invisibility 10' Radius,invisibility-10-radius,Expert,12,120 ft,Permanent until broken,All within 10 ft of target become invisible until attacking/casting or leaving area.,None,"invisibility,area",Group invisibility centered on target.,true,true,12,120 ft,Permanent until broken,All within 10 ft of target become invisible until attacking/casting or leaving area.,None,"invisibility,area",ready,Ready for validation
Magic-User,3,Lightning Bolt,lightning-bolt,Expert,12,180 ft,Instant,"Bolt deals 1d6 lightning damage per caster level, bouncing off barriers.",Spells half,"damage,lightning,area",Line attack with rebound risk.,true,true,12,180 ft,Instant,"Bolt deals 1d6 lightning damage per caster level, bouncing off barriers.",Spells half,"damage,lightning,area",ready,Ready for validation
Magic-User,3,Protection from Evil 10' Radius,protection-from-evil-10-radius,Expert,12,0,12 turns,20 ft diameter protection from evil around caster.,None,"protection,area",Area protective barrier against evil/enchanted attacks.,true,true,12,0,12 turns,20 ft diameter protection from evil around caster.,None,"protection,area",ready,Ready for validation
Magic-User,3,Protection from Normal Missiles,protection-from-normal-missiles,Expert,12,30 ft,12 turns,One target is immune to small nonmagical missiles.,None,"protection,missiles","Blocks normal arrows, bolts, and similar missiles.",true,true,12,30 ft,12 turns,One target is immune to small nonmagical missiles.,None,"protection,missiles",ready,Ready for validation
Magic-User,3,Water Breathing,water-breathing,Expert,12,30 ft,1 day,One target can breathe underwater.,None,"water,movement",Allows underwater breathing for a day.,true,true,12,30 ft,1 day,One target can breathe underwater.,None,"water,movement",ready,Ready for validation
Magic-User,4,Charm Monster,charm-monster,Expert,13,120 ft,Special,Charms one or more living creatures as friends.,Spells negates,"charm,control",Like charm person but works on monsters.,true,true,13,120 ft,Special,Charms one or more living creatures as friends.,Spells negates,"charm,control",ready,Ready for validation
Magic-User,4,Confusion,confusion,Expert,13,120 ft,12 rounds,"Confuses creatures in 60 ft area, causing random actions.",Spells negates,"control,mind",Area mental confusion.,true,true,13,120 ft,12 rounds,"Confuses creatures in 60 ft area, causing random actions.",Spells negates,"control,mind",ready,Ready for validation
Magic-User,4,Dimension Door,dimension-door,Expert,13,10 ft,Instant,Teleports caster or one target up to 360 ft.,None,"teleport,movement",Short-range teleport without error.,true,true,13,10 ft,Instant,Teleports caster or one target up to 360 ft.,None,"teleport,movement",ready,Ready for validation
Magic-User,4,Growth of Plants,growth-of-plants,Expert,13,120 ft,Permanent until dispelled,Thickens vegetation into an impassable barrier.,None,"plants,control",Turns plants into dense obstacle.,true,true,13,120 ft,Permanent until dispelled,Thickens vegetation into an impassable barrier.,None,"plants,control",ready,Ready for validation
Magic-User,4,Hallucinatory Terrain,hallucinatory-terrain,Expert,13,240 ft,Until touched/dispelled,Creates terrain illusion over outdoor area.,None,"illusion,terrain",Makes terrain appear different.,true,true,13,240 ft,Until touched/dispelled,Creates terrain illusion over outdoor area.,None,"illusion,terrain",ready,Ready for validation
Magic-User,4,Massmorph,massmorph,Expert,14,240 ft,Until dispelled,Makes up to 100 creatures look like trees/woods.,None,"illusion,plants",Camouflages a group as woodland.,true,true,14,240 ft,Until dispelled,Makes up to 100 creatures look like trees/woods.,None,"illusion,plants",ready,Ready for validation
Magic-User,4,Polymorph Other,polymorph-other,Expert,14,60 ft,Permanent until dispelled,Changes one creature into another form.,Spells negates,"polymorph,control",Transforms a target creature.,true,true,14,60 ft,Permanent until dispelled,Changes one creature into another form.,Spells negates,"polymorph,control",ready,Ready for validation
Magic-User,4,Polymorph Self,polymorph-self,Expert,14,0,6 turns + level,Caster assumes another form with movement but not special attacks.,None,"polymorph,movement",Caster shapeshifts temporarily.,true,true,14,0,6 turns + level,Caster assumes another form with movement but not special attacks.,None,"polymorph,movement",ready,Ready for validation
Magic-User,4,Remove Curse,remove-curse,Expert,14,Touch,Permanent,Removes a curse; reverse bestows curse.,None,"curse,reversible",Removes magical curse or cursed item bond.,true,true,14,Touch,Permanent,Removes a curse; reverse bestows curse.,None,"curse,reversible",ready,Ready for validation
Magic-User,4,Wall of Fire,wall-of-fire,Expert,14,60 ft,Concentration,Creates fiery wall damaging creatures passing through.,None,"fire,wall,damage","Fire barrier, especially strong vs cold creatures.",true,true,14,60 ft,Concentration,Creates fiery wall damaging creatures passing through.,None,"fire,wall,damage",ready,Ready for validation
Magic-User,4,Wall of Ice,wall-of-ice,Expert,14,120 ft,12 turns,Creates wall or hemisphere of ice.,None,"ice,wall,control",Creates solid ice barrier.,true,true,14,120 ft,12 turns,Creates wall or hemisphere of ice.,None,"ice,wall,control",ready,Ready for validation
Magic-User,4,Wizard Eye,wizard-eye,Expert,14,240 ft,6 turns,Invisible magical eye scouts under caster control.,None,"scrying,detection",Remote scouting sensor.,true,true,14,240 ft,6 turns,Invisible magical eye scouts under caster control.,None,"scrying,detection",ready,Ready for validation
Magic-User,5,Animate Dead,animate-dead,Expert,15,60 ft,Permanent,Creates skeletons or zombies from remains.,None,"undead,creation",Animates undead servants.,true,true,15,60 ft,Permanent,Creates skeletons or zombies from remains.,None,"undead,creation",ready,Ready for validation
Magic-User,5,Cloudkill,cloudkill,Expert,15,1 ft,6 turns,Creates moving poisonous cloud killing weak creatures.,Poison special,"poison,area,death",Poison cloud deadly to low-HD creatures.,true,true,15,1 ft,6 turns,Creates moving poisonous cloud killing weak creatures.,Poison special,"poison,area,death",ready,Ready for validation
Magic-User,5,Conjure Elemental,conjure-elemental,Expert,15,240 ft,Concentration,Summons and controls one 16 HD elemental.,None,"summoning,elemental",Summons elemental; loss of concentration is dangerous.,true,true,15,240 ft,Concentration,Summons and controls one 16 HD elemental.,None,"summoning,elemental",ready,Ready for validation
Magic-User,5,Feeblemind,feeblemind,Expert,15,240 ft,Permanent until dispelled,Reduces spellcaster intelligence to near animal level.,Spells negates,"mind,control",Disables enemy spellcasters.,true,true,15,240 ft,Permanent until dispelled,Reduces spellcaster intelligence to near animal level.,Spells negates,"mind,control",ready,Ready for validation
Magic-User,5,Hold Monster,hold-monster,Expert,16,120 ft,6 turns + level,Paralyzes up to 4 creatures; single target saves at -2.,Spells negates,"paralysis,control",Hold person for monsters.,true,true,16,120 ft,6 turns + level,Paralyzes up to 4 creatures; single target saves at -2.,Spells negates,"paralysis,control",ready,Ready for validation
Magic-User,5,Magic Jar,magic-jar,Expert,16,30 ft,Special,Caster’s life force inhabits a container and may possess bodies.,Spells negates possession,"possession,magic",Body-swapping possession through a jar focus.,true,true,16,30 ft,Special,Caster’s life force inhabits a container and may possess bodies.,Spells negates possession,"possession,magic",ready,Ready for validation
Magic-User,5,Pass-Wall,pass-wall,Expert,16,30 ft,3 turns,Creates passage through solid rock or wall.,None,"movement,earth",Opens temporary tunnel through barrier.,true,true,16,30 ft,3 turns,Creates passage through solid rock or wall.,None,"movement,earth",ready,Ready for validation
Magic-User,5,Telekinesis,telekinesis,Expert,16,120 ft,6 rounds,Moves objects by mental force up to caster weight limit.,None,"movement,force",Moves objects at range by concentration.,true,true,16,120 ft,6 rounds,Moves objects by mental force up to caster weight limit.,None,"movement,force",ready,Ready for validation
Magic-User,5,Teleport,teleport,Expert,16,10 ft,Instant,"Teleports one creature/object to known destination, with error risk.",None,"teleport,movement",Long-distance teleport based on familiarity.,true,true,16,10 ft,Instant,"Teleports one creature/object to known destination, with error risk.",None,"teleport,movement",ready,Ready for validation
Magic-User,6,Anti-Magic Shell,anti-magic-shell,Expert,17,0,12 turns,Creates barrier around caster blocking magic in or out.,None,"protection,anti-magic",Caster is insulated from magic but cannot cast through shell.,true,true,17,0,12 turns,Creates barrier around caster blocking magic in or out.,None,"protection,anti-magic",ready,Ready for validation
Magic-User,6,Death Spell,death-spell,Expert,17,240 ft,Instant,Kills 4d8 HD of living creatures in 60 ft cube.,None,"death,area",Slays groups of weaker living creatures.,true,true,17,240 ft,Instant,Kills 4d8 HD of living creatures in 60 ft cube.,None,"death,area",ready,Ready for validation
Magic-User,6,Disintegrate,disintegrate,Expert,17,60 ft,Instant,Disintegrates one creature or nonmagical object.,Death Ray negates,"damage,destruction",Destroys target if save fails.,true,true,17,60 ft,Instant,Disintegrates one creature or nonmagical object.,Death Ray negates,"damage,destruction",ready,Ready for validation
