spellKey,name,spellClass,spellLevel,sourceBook,sourcePage,reversible,reverseName,needsDetails,range,duration,effect,save,tags,manualNotes,pageVerified,reviewed,confidence,needsReview,suggestedSourcePage,suggestedRange,suggestedDuration,suggestedEffect,suggestedSave,suggestedTags,suggestedManualNotes,suggestedContextExcerpt
"cure-light-wounds","Cure Light Wounds","Cleric",1,"Basic","26",true,"Cause Light Wounds",true,"Touch","Permanent","Heals 2-7 hp or removes paralysis from one living creature.","none",["healing,paralysis,reversible"],"Heals light damage or paralysis; reverse causes 2-7 damage by touch.",true,true,1,true,"26","Touch","Permanent","Heals 2-7 hp or removes paralysis from one living creature.","none",["healing,paralysis,reversible"],"",""
"continual-light","Continual Light","Cleric",3,"Expert","6",true,"Continual Darkness",true,"120 ft","Permanent","Creates daylight-bright 60 ft sphere; can blind if cast at eyes.","spells negates blindness",["light,reversible"],"Permanent daylight effect; reverse creates continual darkness.",true,true,1,true,"6","120 ft","Permanent","Creates daylight-bright 60 ft sphere; can blind if cast at eyes.","spells negates blindness",["light,reversible"],"",""
"cure-disease","Cure Disease","Cleric",3,"Expert","6",true,"Cause Disease",true,"30 ft","Permanent","Cures one disease; high-level caster can cure lycanthropy.","none",["healing,disease,reversible"],"Cures disease; reverse inflicts wasting disease.",true,true,1,true,"6","30 ft","Permanent","Cures one disease; high-level caster can cure lycanthropy.","none",["healing,disease,reversible"],"",""
"growth-of-animal","Growth of Animal","Cleric",3,"Expert","6",false,"",true,"120 ft","12 turns","Doubles size, strength, damage, and carrying capacity of one animal.","none",["animals,buff"],"Enlarges normal or giant animal without changing behavior.",true,true,1,true,"6","120 ft","12 turns","Doubles size, strength, damage, and carrying capacity of one animal.","none",["animals,buff"],"",""
"locate-object","Locate Object","Cleric",3,"Expert","6",false,"",true,"0","6 turns","Caster senses direction of one known object within 120 ft.","none",["detection,utility"],"Detects direction only; does not locate creatures.",true,true,1,true,"6","0","6 turns","Caster senses direction of one known object within 120 ft.","none",["detection,utility"],"",""
"remove-curse","Remove Curse","Cleric",3,"Expert","6",true,"Curse",true,"Touch","Permanent","Removes one curse from creature, item, or area; some removals may be temporary.","none",["curse,reversible"],"Removes curses; reverse applies a misfortune or penalty.",true,true,1,true,"6","Touch","Permanent","Removes one curse from creature, item, or area; some removals may be temporary.","none",["curse,reversible"],"",""
"striking","Striking","Cleric",3,"Expert","7",false,"",true,"30 ft","1 turn","One weapon gains +1d6 damage per attack and can harm magic-only targets for that bonus.","none",["buff,weapon,damage"],"Temporarily empowers a weapon with extra striking damage.",true,true,1,true,"7","30 ft","1 turn","One weapon gains +1d6 damage per attack and can harm magic-only targets for that bonus.","none",["buff,weapon,damage"],"",""
"warp-wood","Warp Wood","Cleric",3,"Expert","6",false,"",true,"240 ft","Permanent","Bends or warps wooden items, usually spoiling weapons, doors, or small objects.","special",["wood,utility"],"Warps wood; useful against bows, doors, shafts, and similar items.",true,true,1,true,"6","240 ft","Permanent","Bends or warps wooden items, usually spoiling weapons, doors, or small objects.","special",["wood,utility"],"",""
"create-water","Create Water","Cleric",4,"Expert","7",false,"",true,"10 ft","6 turns","Creates a spring with water for 12 men and mounts, plus more at higher levels.","none",["creation,water"],"Creates drinking water from ground or wall for one hour.",true,true,1,true,"7","10 ft","6 turns","Creates a spring with water for 12 men and mounts, plus more at higher levels.","none",["creation,water"],"",""
"cure-serious-wounds","Cure Serious Wounds","Cleric",4,"Expert","7",true,"Cause Serious Wounds",true,"Touch","Permanent","Heals 4-14 hp damage to one living creature.","none",["healing,reversible"],"Heals serious wounds; reverse causes 4-14 damage by touch.",true,true,1,true,"7","Touch","Permanent","Heals 4-14 hp damage to one living creature.","none",["healing,reversible"],"",""
"neutralize-poison","Neutralize Poison","Cleric",4,"Expert","8",false,"",true,"Touch","Permanent","Neutralizes poison in creature, container, or object; can revive poison death within 10 rounds.","none",["poison,healing,reversible"],"Makes poison harmless; reverse creates lethal poison.",true,true,1,true,"8","Touch","Permanent","Neutralizes poison in creature, container, or object; can revive poison death within 10 rounds.","none",["poison,healing,reversible"],"",""
"protection-from-evil-10-radius","Protection from Evil 10' Radius","Cleric",4,"Expert","8",false,"",true,"0","12 turns","20 ft diameter barrier gives allies +1 saves, attackers -1 hit, and blocks enchanted melee.","none",["protection,area"],"Area version of protection from evil centered on caster.",true,true,1,true,"8","0","12 turns","20 ft diameter barrier gives allies +1 saves, attackers -1 hit, and blocks enchanted melee.","none",["protection,area"],"",""
"speak-with-plants","Speak with Plants","Cleric",4,"Expert","8",false,"",true,"0","3 turns","Caster speaks with plants within 30 ft and can request simple favors.","none",["communication,plants"],"Allows plant communication and passage through vegetation.",true,true,1,true,"8","0","3 turns","Caster speaks with plants within 30 ft and can request simple favors.","none",["communication,plants"],"",""
"sticks-to-snakes","Sticks to Snakes","Cleric",4,"Expert","8",true,"Snakes to Sticks",true,"120 ft","6 turns","Turns 2-16 sticks into snakes that obey the cleric.","none",["summoning,animals"],"Creates temporary snake servants from sticks.",true,true,1,true,"8","120 ft","6 turns","Turns 2-16 sticks into snakes that obey the cleric.","none",["summoning,animals"],"",""
"commune","Commune","Cleric",5,"Expert","9",false,"",true,"0","3 turns","Cleric asks higher powers three yes/no questions; usable rarely.","none",["divination"],"Ask divine powers limited questions for guidance.",true,true,1,true,"9","0","3 turns","Cleric asks higher powers three yes/no questions; usable rarely.","none",["divination"],"",""
"create-food","Create Food","Cleric",5,"Expert","9",false,"",true,"10 ft","Permanent","Creates food for 12 men and mounts for one day, more at higher levels.","none",["creation,food"],"Creates sustaining food for a group and mounts.",true,true,1,true,"9","10 ft","Permanent","Creates food for 12 men and mounts for one day, more at higher levels.","none",["creation,food"],"",""
"cure-critical-wounds","Cure Critical Wounds","Cleric",5,"Companion","12",false,"",true,"Touch","Permanent","Cures 6-21 hp damage to one living creature; reverse causes same damage by touch.","none",["healing,damage,reversible"],"Major cure spell; reverse causes critical wounds by touch.",true,true,1,true,"12","Touch","Permanent","Cures 6-21 hp damage to one living creature; reverse causes same damage by touch.","none",["healing,damage,reversible"],"",""
"dispel-evil","Dispel Evil","Cleric",5,"Expert","9",false,"",true,"30 ft","1 turn","Banishing/protective power against enchanted or summoned evil creatures and curses.","special",["protection,banishment"],"Can drive away or destroy evil magical influence at close range.",true,true,1,true,"9","30 ft","1 turn","Banishing/protective power against enchanted or summoned evil creatures and curses.","special",["protection,banishment"],"",""
"insect-plague","Insect Plague","Cleric",5,"Expert","9",false,"",true,"480 ft","1 day","Summons a 60 ft swarm cloud that drives away creatures under 3 HD.","none",["summoning,insects,control"],"Creates a large insect swarm that disrupts weak creatures.",true,true,1,true,"9","480 ft","1 day","Summons a 60 ft swarm cloud that drives away creatures under 3 HD.","none",["summoning,insects,control"],"",""
"quest","Quest","Cleric",5,"Expert","10",false,"",true,"30 ft","Until fulfilled","Compels a creature to perform or avoid a task; refusal causes penalties.","spells negates",["control,geas,reversible"],"Places a divine obligation; reverse removes quest.",true,true,1,true,"10","30 ft","Until fulfilled","Compels a creature to perform or avoid a task; refusal causes penalties.","spells negates",["control,geas,reversible"],"",""
"raise-dead","Raise Dead","Cleric",5,"Expert","10",false,"",true,"120 ft","Permanent","Restores a dead human/demi-human within time limit; recipient returns weak.","none",["healing,resurrection,reversible"],"Raises dead; reverse can slay like finger of death.",true,true,1,true,"10","120 ft","Permanent","Restores a dead human/demi-human within time limit; recipient returns weak.","none",["healing,resurrection,reversible"],"",""
"truesight","Truesight","Cleric",5,"Companion","12",false,"",true,"0","1 turn + 1 round per level","Reveals hidden, invisible, ethereal, disguised, and polymorphed things within 120 ft; also reveals alignment and power.","none",["detection,truth"],"Powerful true-seeing effect within 120 ft.",true,true,1,true,"12","0","1 turn + 1 round per level","Reveals hidden, invisible, ethereal, disguised, and polymorphed things within 120 ft; also reveals alignment and power.","none",["detection,truth"],"",""
"aerial-servant","Aerial Servant","Cleric",6,"Companion","12",false,"",true,"60 ft","1 day per level","Summons an aerial servant to fetch a described creature or item from an approximate location.","none",["summoning,ethereal,utility"],"Summons servant to retrieve one named target.",true,true,1,true,"12","60 ft","1 day per level","Summons an aerial servant to fetch a described creature or item from an approximate location.","none",["summoning,ethereal,utility"],"",""
"barrier","Barrier","Cleric",6,"Companion","12",false,"",true,"60 ft","12 turns","Creates a 30 ft diameter by 30 ft high wall of whirling hammers; passing through causes 7-70 damage.","none",["barrier,damage,reversible"],"Blocks passage with damaging hammer barrier; reverse removes clerical/magical walls.",true,true,1,true,"12","60 ft","12 turns","Creates a 30 ft diameter by 30 ft high wall of whirling hammers; passing through causes 7-70 damage.","none",["barrier,damage,reversible"],"",""
"create-normal-animals","Create Normal Animals","Cleric",6,"Companion","12",false,"",true,"30 ft","10 turns","Creates 1 large, 3 medium, or 6 small normal loyal animals that obey the cleric.","none",["creation,animals,summoning"],"Creates temporary normal animals under command.",true,true,1,true,"12","30 ft","10 turns","Creates 1 large, 3 medium, or 6 small normal loyal animals that obey the cleric.","none",["creation,animals,summoning"],"",""
"earthquake","Earthquake","Cleric",7,"Companion","13",false,"",true,"120 yards","1 turn","Shakes earth in a large area, damaging structures and opening cracks that may engulf creatures.","none",["earth,area,destruction"],"Creates destructive earth tremors over a scaling area.",true,true,1,true,"13","120 yards","1 turn","Shakes earth in a large area, damaging structures and opening cracks that may engulf creatures.","none",["earth,area,destruction"],"",""
"holy-word","Holy Word","Cleric",7,"Companion","13",false,"",true,"0","Instantaneous","Affects all creatures within 40 ft whose alignment differs from the cleric: may kill, stun, or deafen by level.","spells negates for level 13+ or same alignment",["alignment,area,power-word"],"Alignment-based area word with severe effects.",true,true,1,true,"13","0","Instantaneous","Affects all creatures within 40 ft whose alignment differs from the cleric: may kill, stun, or deafen by level.","spells negates for level 13+ or same alignment",["alignment,area,power-word"],"",""
"restore","Restore","Cleric",7,"Companion","13",false,"",true,"Touch","Permanent","Restores one full level of energy experience lost to energy drain; reverse drains one level.","none",["restoration,energy-drain,reversible"],"Restores one drained level; reverse drains one level.",true,true,1,true,"13","Touch","Permanent","Restores one full level of energy experience lost to energy drain; reverse drains one level.","none",["restoration,energy-drain,reversible"],"",""
"raise-dead-fully","Raise Dead Fully","Cleric",7,"Companion","13",false,"",true,"60 ft","Permanent","Raises any living creature; humans and demi-humans return fully healed and ready to act.","special",["resurrection,healing,reversible"],"Full resurrection; reverse obliterates living targets like the spell affects undead.",true,true,1,true,"13","60 ft","Permanent","Raises any living creature; humans and demi-humans return fully healed and ready to act.","special",["resurrection,healing,reversible"],"",""
"faerie-fire","Faerie Fire","Druid",1,"Companion","14",false,"",true,"60 ft","1 round per level","Outlines detected creatures or objects with harmless green fire; attacks against them gain +2 to hit.","none",["detection,combat,light"],"Outlines targets and makes them easier to hit.",true,true,1,true,"14","60 ft","1 round per level","Outlines detected creatures or objects with harmless green fire; attacks against them gain +2 to hit.","none",["detection,combat,light"],"",""
"locate","Locate","Druid",1,"Companion","15",false,"",true,"0","6 turns","Caster senses direction of one known animal, plant, or natural outdoor object within range.","none",["detection,nature"],"Nature-focused locate effect.",true,true,1,true,"15","0","6 turns","Caster senses direction of one known animal, plant, or natural outdoor object within range.","none",["detection,nature"],"",""
"predict-weather","Predict Weather","Druid",1,"Companion","15",false,"",true,"0","12 hours","Caster accurately predicts natural weather in the local area for the next 12 hours.","none",["weather,utility"],"Predicts upcoming natural weather.",true,true,1,true,"15","0","12 hours","Caster accurately predicts natural weather in the local area for the next 12 hours.","none",["weather,utility"],"",""
"obscure","Obscure","Druid",2,"Companion","15",false,"",true,"0","1 turn per level","Creates a misty cloud around the druid, heavily obscuring sight in a 10 ft radius per level.","none",["weather,concealment"],"Creates fog-like concealment around caster.",true,true,1,true,"15","0","1 turn per level","Creates a misty cloud around the druid, heavily obscuring sight in a 10 ft radius per level.","none",["weather,concealment"],"",""
"produce-fire","Produce Fire","Druid",2,"Companion","15",false,"",true,"0","2 turns per level","Creates a magical flame in the druid's hand that can ignite objects or be thrown.","none",["fire,damage,utility"],"Creates controllable magical fire.",true,true,1,true,"15","0","2 turns per level","Creates a magical flame in the druid's hand that can ignite objects or be thrown.","none",["fire,damage,utility"],"",""
"warp-wood","Warp Wood","Druid",2,"Companion","15",false,"",true,"240 ft","Permanent","Bends and warps wooden weapons, doors, or objects, often making them useless.","none",["wood,control"],"Warps wooden objects out of shape.",true,true,1,true,"15","240 ft","Permanent","Bends and warps wooden weapons, doors, or objects, often making them useless.","none",["wood,control"],"",""
"call-lightning","Call Lightning","Druid",3,"Companion","15",false,"",true,"360 ft","1 turn per level","Calls lightning bolts from stormy skies; each bolt deals heavy electrical damage in an area.","spells half",["lightning,damage,weather"],"Calls lightning during a storm.",true,true,1,true,"15","360 ft","1 turn per level","Calls lightning bolts from stormy skies; each bolt deals heavy electrical damage in an area.","spells half",["lightning,damage,weather"],"",""
"hold-animal","Hold Animal","Druid",3,"Companion","15",false,"",true,"180 ft","1 turn per level","Paralyzes normal or giant animals of animal intelligence within range.","spells negates",["animals,paralysis"],"Holds animal targets immobile.",true,true,1,true,"15","180 ft","1 turn per level","Paralyzes normal or giant animals of animal intelligence within range.","spells negates",["animals,paralysis"],"",""
"water-breathing","Water Breathing","Druid",3,"Companion","15",false,"",true,"30 ft","1 day","Allows one air-breathing creature to breathe water; reverse lets water-breathers breathe air.","none",["water,breathing,utility"],"Allows breathing in water.",true,true,1,true,"15","30 ft","1 day","Allows one air-breathing creature to breathe water; reverse lets water-breathers breathe air.","none",["water,breathing,utility"],"",""
"control-temperature-10-radius","Control Temperature 10' Radius","Druid",4,"Companion","15",false,"",true,"0","1 turn per level","Changes temperature within 10 ft of the caster to extreme heat or cold.","none",["weather,environment"],"Controls local temperature around caster.",true,true,1,true,"15","0","1 turn per level","Changes temperature within 10 ft of the caster to extreme heat or cold.","none",["weather,environment"],"",""
"protection-from-lightning","Protection from Lightning","Druid",4,"Companion","15",false,"",true,"Touch","1 turn per level","Protects one creature from lightning damage, including natural and magical lightning.","none",["lightning,protection"],"Grants lightning protection.",true,true,1,true,"15","Touch","1 turn per level","Protects one creature from lightning damage, including natural and magical lightning.","none",["lightning,protection"],"",""
"anti-plant-shell","Anti-Plant Shell","Druid",5,"Companion","16",false,"",true,"0","1 round per level","Personal invisible barrier blocks attacks from plants and plant-like monsters.","none",["plants,protection,barrier"],"Blocks plant attacks around caster.",true,true,1,true,"16","0","1 round per level","Personal invisible barrier blocks attacks from plants and plant-like monsters.","none",["plants,protection,barrier"],"",""
"control-winds","Control Winds","Druid",5,"Companion","16",false,"",true,"10 ft radius per level","1 turn per level","Calms or increases winds within range; can affect air creatures with proper control.","spells negates for air creatures",["weather,air,control"],"Controls wind strength around caster.",true,true,1,true,"16","10 ft radius per level","1 turn per level","Calms or increases winds within range; can affect air creatures with proper control.","spells negates for air creatures",["weather,air,control"],"",""
"charm-person","Charm Person","Magic-User",1,"Basic","40",false,"",true,"120 ft","Special","Charms one humanoid as a trusted friend; repeat saves based on Intelligence.","spells negates",["charm,control"],"Makes a humanoid friendly unless save succeeds.",true,true,1,true,"40","120 ft","Special","Charms one humanoid as a trusted friend; repeat saves based on Intelligence.","spells negates",["charm,control"],"",""
"detect-magic","Detect Magic","Magic-User",1,"Basic","40",false,"",true,"0","2 turns","Magic within 60 ft glows to the caster.","none",["detection,magic"],"Caster sees magical auras nearby.",true,true,1,true,"40","0","2 turns","Magic within 60 ft glows to the caster.","none",["detection,magic"],"",""
"floating-disc","Floating Disc","Magic-User",1,"Basic","40",false,"",true,"0","6 turns","Creates floating disc carrying up to 5,000 cn, following caster.","none",["utility,transport"],"Creates a hovering carrier for treasure or gear.",true,true,1,true,"40","0","6 turns","Creates floating disc carrying up to 5,000 cn, following caster.","none",["utility,transport"],"",""
"hold-portal","Hold Portal","Magic-User",1,"Basic","40",false,"",true,"10 ft","2-12 turns","Magically holds one door, gate, or similar portal shut.","none",["control,door"],"Holds a portal closed unless forced or magically opened.",true,true,1,true,"40","10 ft","2-12 turns","Magically holds one door, gate, or similar portal shut.","none",["control,door"],"",""
"light","Light","Magic-User",1,"Basic","40",true,"Darkness",true,"120 ft","6 turns + caster level","Creates 30 ft diameter light; can blind if targeted.","spells negates blindness",["light,reversible"],"Creates light; reverse creates darkness.",true,true,1,true,"40","120 ft","6 turns + caster level","Creates 30 ft diameter light; can blind if targeted.","spells negates blindness",["light,reversible"],"",""
"magic-missile","Magic Missile","Magic-User",1,"Basic","40",false,"",true,"150 ft","1 round","Creates unerring magical missile(s) dealing 1d6+1 damage each.","none",["damage,force"],"Automatically hits visible target within range.",true,true,1,true,"40","150 ft","1 round","Creates unerring magical missile(s) dealing 1d6+1 damage each.","none",["damage,force"],"",""
"protection-from-evil","Protection from Evil","Magic-User",1,"Basic","40",false,"",true,"0","6 turns","Caster gains attacks -1, saves +1, and enchanted creatures are blocked.","none",["protection"],"Protects caster from hostile and enchanted melee attacks.",true,true,1,true,"40","0","6 turns","Caster gains attacks -1, saves +1, and enchanted creatures are blocked.","none",["protection"],"",""
"read-languages","Read Languages","Magic-User",1,"Basic","40",false,"",true,"0","2 turns","Caster reads unknown languages, codes, maps, and inscriptions.","none",["utility,language"],"Translates written language but not magical writing.",true,true,1,true,"40","0","2 turns","Caster reads unknown languages, codes, maps, and inscriptions.","none",["utility,language"],"",""
"read-magic","Read Magic","Magic-User",1,"Basic","40",false,"",true,"0","1 turn","Caster reads magical writing and scrolls.","none",["utility,magic"],"Allows reading spell books, scrolls, and magical inscriptions.",true,true,1,true,"40","0","1 turn","Caster reads magical writing and scrolls.","none",["utility,magic"],"",""
"shield","Shield","Magic-User",1,"Basic","40",false,"",true,"0","2 turns","Invisible barrier improves AC and blocks magic missiles.","none",["protection"],"Defensive shield protects caster, especially from missiles.",true,true,1,true,"40","0","2 turns","Invisible barrier improves AC and blocks magic missiles.","none",["protection"],"",""
"sleep","Sleep","Magic-User",1,"Basic","40",false,"",true,"240 ft","4-16 turns","Puts 2d8 HD of creatures to sleep, usually affecting weakest first.","none",["sleep,control"],"Drops low-HD enemies asleep; no save.",true,true,1,true,"40","240 ft","4-16 turns","Puts 2d8 HD of creatures to sleep, usually affecting weakest first.","none",["sleep,control"],"",""
"ventriloquism","Ventriloquism","Magic-User",1,"Basic","40",false,"",true,"60 ft","2 turns","Caster makes voice or sound appear to come from elsewhere.","none",["illusion,sound"],"Throws the caster’s voice to mislead listeners.",true,true,1,true,"40","60 ft","2 turns","Caster makes voice or sound appear to come from elsewhere.","none",["illusion,sound"],"",""
"continual-light","Continual Light","Magic-User",2,"Basic","41",true,"Continual Darkness",true,"120 ft","Permanent","Creates daylight-bright 60 ft sphere; can blind if targeted.","spells negates blindness",["light,reversible"],"Permanent light; reverse creates continual darkness.",true,true,1,true,"41","120 ft","Permanent","Creates daylight-bright 60 ft sphere; can blind if targeted.","spells negates blindness",["light,reversible"],"",""
"detect-evil","Detect Evil","Magic-User",2,"Basic","41",false,"",true,"60 ft","2 turns","Detects evil intentions or evil-enchanted objects.","none",["detection,evil"],"Reveals evil intent or magic, not traps or poison.",true,true,1,true,"41","60 ft","2 turns","Detects evil intentions or evil-enchanted objects.","none",["detection,evil"],"",""
"detect-invisible","Detect Invisible","Magic-User",2,"Basic","41",false,"",true,"10 ft per level","6 turns","Caster can see invisible creatures and objects within range.","none",["detection,invisibility"],"Reveals invisible things to caster.",true,true,1,true,"41","10 ft per level","6 turns","Caster can see invisible creatures and objects within range.","none",["detection,invisibility"],"",""
"esp","ESP","Magic-User",2,"Basic","41",false,"",true,"60 ft","12 turns","Caster reads surface thoughts in one direction through some barriers.","spells negates",["detection,mind"],"Reads thoughts of creatures in range and direction.",true,true,1,true,"41","60 ft","12 turns","Caster reads surface thoughts in one direction through some barriers.","spells negates",["detection,mind"],"",""
"invisibility","Invisibility","Magic-User",2,"Basic","41",false,"",true,"240 ft","Permanent until broken","One creature or object becomes invisible until attacking/casting or dispelled.","none",["invisibility"],"Makes target invisible until it takes hostile action.",true,true,1,true,"41","240 ft","Permanent until broken","One creature or object becomes invisible until attacking/casting or dispelled.","none",["invisibility"],"",""
"knock","Knock","Magic-User",2,"Basic","41",false,"",true,"60 ft","Instant","Opens stuck, locked, barred, or magically held portals.","none",["utility,door"],"Opens locked or held doors and similar closures.",true,true,1,true,"41","60 ft","Instant","Opens stuck, locked, barred, or magically held portals.","none",["utility,door"],"",""
"levitate","Levitate","Magic-User",2,"Basic","41",false,"",true,"0","6 turns + caster level","Caster moves up or down vertically by mental control.","none",["movement"],"Allows vertical movement but not horizontal flight.",true,true,1,true,"41","0","6 turns + caster level","Caster moves up or down vertically by mental control.","none",["movement"],"",""
"locate-object","Locate Object","Magic-User",2,"Basic","41",false,"",true,"0","2 turns","Caster senses direction of a known object within 60 ft + 10 ft/level.","none",["detection,utility"],"Detects direction of a familiar object.",true,true,1,true,"41","0","2 turns","Caster senses direction of a known object within 60 ft + 10 ft/level.","none",["detection,utility"],"",""
"mirror-image","Mirror Image","Magic-User",2,"Basic","41",false,"",true,"0","6 turns","Creates 1d4 illusory duplicates that may absorb attacks.","none",["illusion,defense"],"Creates duplicate images to confuse attackers.",true,true,1,true,"41","0","6 turns","Creates 1d4 illusory duplicates that may absorb attacks.","none",["illusion,defense"],"",""
"phantasmal-force","Phantasmal Force","Magic-User",2,"Basic","41",false,"",true,"240 ft","Concentration","Creates a visual illusion in a 20 ft cube.","spells disbelief",["illusion"],"Creates an illusion sustained by concentration.",true,true,1,true,"41","240 ft","Concentration","Creates a visual illusion in a 20 ft cube.","spells disbelief",["illusion"],"",""
"web","Web","Magic-User",2,"Basic","41",false,"",true,"10 ft","48 turns","Fills up to 10x10x10 ft with sticky webs, entangling creatures.","special",["control,web"],"Entangles creatures; fire can burn webs away.",true,true,1,true,"41","10 ft","48 turns","Fills up to 10x10x10 ft with sticky webs, entangling creatures.","special",["control,web"],"",""
"wizard-lock","Wizard Lock","Magic-User",2,"Basic","41",false,"",true,"10 ft","Permanent","Magically locks a portal; higher-level casters may bypass.","none",["door,magic"],"Long-term magical lock on door or portal.",true,true,1,true,"41","10 ft","Permanent","Magically locks a portal; higher-level casters may bypass.","none",["door,magic"],"",""
"clairvoyance","Clairvoyance","Magic-User",3,"Expert","11",false,"",true,"60 ft","12 turns","See through the eyes of one creature in range.","none",["detection,scrying"],"Remote sight through another creature.",true,true,1,true,"11","60 ft","12 turns","See through the eyes of one creature in range.","none",["detection,scrying"],"",""
